Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,candle_periodicity,break_type,trend_type,break_direction,dx,stop_gain_distance,stop_loss_distance,start_hour,start_min,last_hour,last_min,daily_loss,daily_gain,max_trades
6381,"0,02","16945,00",25.21577,1.33083,5.23802,0.15231,"0,016945","15,87",672,2,1,0,0,12,18,23,9,30,15,45,940,370,4
6311,"0,02","16830,00",28.00333,1.37500,5.78351,0.16279,"0,01683","13,39",601,2,1,0,0,15,18,23,9,30,15,45,940,370,4
6407,"0,02","16350,00",27.85349,1.37231,5.61856,0.16115,"0,01635","13,70",587,2,1,0,0,15,18,23,9,30,15,45,940,370,3
6192,"0,02","16265,00",35.90508,1.38025,6.62526,0.17998,"0,016265","14,92",453,0,0,0,0,5,45,23,10,45,16,30,940,210,13
6470,"0,02","16195,00",20.39673,1.25658,4.25066,0.13277,"0,016195","18,00",794,2,1,0,0,8,18,23,9,30,15,45,940,370,20
6581,"0,02","16045,00",23.77037,1.30194,3.54194,0.15308,"0,016045","21,42",675,2,1,0,0,12,18,25,9,30,15,45,940,370,8
6370,"0,02","16015,00",24.75271,1.33652,5.06003,0.15159,"0,016015","15,48",647,2,1,0,0,15,18,23,9,30,16,45,940,370,4
6539,"0,02","16005,00",24.58525,1.33459,5.05687,0.15115,"0,016005","15,48",651,2,1,0,0,15,18,23,9,30,16,45,940,370,5
6520,"0,02","16005,00",24.58525,1.33459,5.05687,0.15115,"0,016005","15,48",651,2,1,0,0,15,18,23,9,30,16,45,940,370,13
6402,"0,02","15935,00",28.45536,1.34031,3.71879,0.14692,"0,015935","20,43",560,2,1,0,0,15,18,35,9,30,15,45,760,380,4
6426,"0,02","15890,00",28.32442,1.33884,3.79236,0.14675,"0,01589","20,11",561,2,1,0,0,15,18,35,9,30,15,45,940,370,20
6419,"0,02","15890,00",28.32442,1.33884,3.79236,0.14675,"0,01589","20,11",561,2,1,0,0,15,18,35,9,30,15,45,940,370,5
6384,"0,02","15890,00",28.32442,1.33884,3.79236,0.14675,"0,01589","20,11",561,2,1,0,0,15,18,35,9,30,15,45,940,370,8
6357,"0,02","15890,00",28.32442,1.33884,3.79236,0.14675,"0,01589","20,11",561,2,1,0,0,15,18,35,9,30,15,45,940,370,4
6308,"0,02","15805,00",25.40997,1.34085,6.53099,0.14025,"0,015805","12,32",622,2,1,0,0,15,18,21,9,30,15,45,760,380,4
6519,"0,02","15795,00",22.46799,1.28789,4.89009,0.14012,"0,015795","17,10",703,2,1,0,0,11,18,23,9,30,15,45,940,370,20
6103,"0,02","15595,00",25.07235,1.33614,6.30101,0.13798,"0,015595","12,62",622,2,1,0,0,15,18,21,9,30,15,45,940,370,4
