Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,candle_periodicity,break_type,trend_type,break_direction,dx,stop_gain_distance,stop_loss_distance,start_hour,start_min,last_hour,last_min,daily_loss,daily_gain,max_trades
5676,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,10
5633,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1140,14
5623,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1830,18
5610,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1300,20
5592,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,14
5588,"0,01","13050,00",29.59184,1.39130,5.93182,0.12231,"0,01305","14,18",441,0,0,1,1,0,20,45,13,45,15,45,980,310,18
5553,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1300,18
5544,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,11
5527,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1140,18
5518,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1140,16
5514,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1620,6
5504,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1140,11
5458,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,15
5453,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1300,19
5457,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,16
5446,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,9
5440,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,20
5469,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,8
5425,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,13
5427,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,17
5415,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1780,18
5392,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,13
5418,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,9
5396,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1300,17
5414,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1140,15
5383,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1620,15
5353,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,18
5346,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,12
5363,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1780,16
5334,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1620,18
5333,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1780,13
5374,"0,01","13050,00",29.59184,1.39130,5.93182,0.12231,"0,01305","14,18",441,0,0,1,1,0,20,45,13,45,15,45,980,310,14
5351,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1620,13
5332,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,11
5315,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1620,9
5281,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1140,6
5286,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1620,17
5271,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1300,15
5179,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1620,12
5174,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1300,14
5147,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,17
5175,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,16
5110,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,19
4020,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1460,12
4081,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1620,16
4175,"0,01","13050,00",28.12500,1.35156,6.01383,0.12537,"0,01305","13,63",464,0,0,1,1,0,20,45,13,45,15,45,740,1940,18
5737,"0,01","13035,00",18.51563,1.27049,4.67204,0.12370,"0,013035","18,94",704,0,0,0,0,5,45,9,10,45,15,45,430,600,4
4537,"0,01","13035,00",22.35849,1.28279,2.92593,0.14138,"0,013035","23,04",583,2,1,0,0,15,18,21,9,30,15,0,680,420,5
5564,"0,01","13030,00",27.43158,1.35812,6.11737,0.10445,"0,01303","13,37",475,0,0,1,1,0,20,45,13,45,16,30,590,340,4
5749,"0,01","13025,00",29.73744,1.38382,6.11502,0.11757,"0,013025","13,45",438,0,0,1,1,0,20,45,13,45,15,45,590,340,20
5502,"0,01","13025,00",29.73744,1.38382,6.11502,0.11757,"0,013025","13,45",438,0,0,1,1,0,20,45,13,45,15,45,590,340,5
5055,"0,01","13025,00",29.73744,1.38382,6.11502,0.11757,"0,013025","13,45",438,0,0,1,1,0,20,45,13,45,15,45,590,340,13
5880,"0,01","13010,00",28.34423,1.35585,5.99539,0.13016,"0,01301","13,67",459,0,0,1,1,0,20,45,13,45,15,45,740,820,4
5728,"0,01","13010,00",28.34423,1.35585,5.99539,0.13016,"0,01301","13,67",459,0,0,1,1,0,20,45,13,45,15,45,740,1300,4
5673,"0,01","13010,00",28.34423,1.35585,5.99539,0.13016,"0,01301","13,67",459,0,0,1,1,0,20,45,13,45,15,45,740,1620,4
5449,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1390,16
5397,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1870,11
5356,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1870,7
5373,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1390,12
5302,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1870,17
5291,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1870,18
4765,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1870,12
4781,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1870,14
4238,"0,01","13010,00",28.03879,1.35011,5.99539,0.12419,"0,01301","13,67",464,0,0,1,1,0,20,45,13,45,15,45,860,1870,13
5861,"0,01","12995,00",29.46712,1.38901,5.90682,0.12259,"0,012995","14,23",441,0,0,1,1,0,20,45,13,45,15,45,800,310,13
5875,"0,01","12995,00",29.46712,1.38901,5.90682,0.12259,"0,012995","14,23",441,0,0,1,1,0,20,45,13,45,15,45,800,310,17
5803,"0,01","12995,00",28.12771,1.35160,5.98848,0.12274,"0,012995","13,68",462,0,0,1,1,0,20,47,13,45,15,45,740,980,12
5778,"0,01","12995,00",29.46712,1.38901,5.90682,0.12259,"0,012995","14,23",441,0,0,1,1,0,20,45,13,45,15,45,800,310,5
5680,"0,01","12995,00",28.00647,1.34956,5.98848,0.12514,"0,012995","13,68",464,0,0,1,1,0,20,45,13,45,15,45,760,1660,16
5679,"0,01","12995,00",29.46712,1.38901,5.90682,0.12259,"0,012995","14,23",441,0,0,1,1,0,20,45,13,45,15,45,800,310,16
5532,"0,01","12995,00",28.00647,1.34956,5.98848,0.12514,"0,012995","13,68",464,0,0,1,1,0,20,45,13,45,15,45,760,1500,16
5485,"0,01","12995,00",29.46712,1.38901,5.90682,0.12259,"0,012995","14,23",441,0,0,1,1,0,20,45,13,45,15,45,800,310,20
5042,"0,01","12995,00",28.00647,1.34956,5.98848,0.12514,"0,012995","13,68",464,0,0,1,1,0,20,45,13,45,15,45,760,1500,13
5922,"0,01","12970,00",30.16279,1.37217,6.17619,0.11660,"0,01297","13,56",430,0,0,1,1,0,21,45,13,45,15,45,940,370,18
5581,"0,01","12970,00",29.67963,1.39333,5.89546,0.12395,"0,01297","14,25",437,0,0,1,1,0,20,47,13,45,15,45,800,310,4
5105,"0,01","12965,00",27.01042,1.35178,5.80090,0.10086,"0,012965","76,54",480,0,0,1,1,0,20,45,13,45,16,30,590,340,13
5938,"0,01","12960,00",26.61191,1.33488,5.95862,0.09968,"0,01296","72,62",487,0,0,1,1,0,20,45,13,45,16,30,940,370,20
5933,"0,01","12960,00",26.61191,1.33488,5.95862,0.09968,"0,01296","72,62",487,0,0,1,1,0,20,45,13,45,16,30,940,370,12
5764,"0,01","12960,00",26.61191,1.33488,5.95862,0.09968,"0,01296","72,62",487,0,0,1,1,0,20,45,13,45,16,30,940,370,7
5754,"0,01","12960,00",26.61191,1.33488,5.95862,0.09968,"0,01296","72,62",487,0,0,1,1,0,20,45,13,45,16,30,940,370,18
5714,"0,01","12960,00",31.00479,1.38942,6.29126,0.12839,"0,01296","13,37",418,0,0,1,1,0,20,45,13,45,15,30,940,370,12
5558,"0,01","12960,00",31.00479,1.38942,6.29126,0.12839,"0,01296","13,37",418,0,0,1,1,0,20,45,13,45,15,30,940,370,5
5398,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1910,16
5391,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1910,15
5375,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1750,20
5192,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1910,17
5167,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1750,12
5148,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1590,12
5023,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1590,16
4819,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1590,17
4716,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1750,13
4234,"0,01","12960,00",27.93103,1.34829,5.97235,0.12398,"0,01296","13,71",464,0,0,1,1,0,20,45,13,45,15,45,980,1910,18
5607,"0,01","12955,00",28.28603,1.34999,5.97005,0.12448,"0,012955","13,82",458,0,0,1,1,0,20,51,13,45,15,45,740,1460,12
5612,"0,01","12950,00",28.21351,1.35421,5.96774,0.13086,"0,01295","13,72",459,0,0,1,1,0,20,45,13,45,15,45,740,660,4
5897,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1490,13
5876,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1650,18
5838,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1490,16
5665,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1490,12
5572,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1800,12
5507,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1810,18
5320,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1330,12
5289,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1810,16
5317,"0,01","12935,00",27.87716,1.34739,5.96083,0.12387,"0,012935","13,73",464,0,0,1,1,0,20,45,13,45,15,45,940,1810,19
6560,"0,01","12915,00",21.41791,1.25499,4.55556,0.12763,"0,012915","16,12",603,2,1,0,0,15,18,23,9,30,15,45,940,530,13
6516,"0,01","12915,00",21.41791,1.25499,4.55556,0.12763,"0,012915","16,12",603,2,1,0,0,15,18,23,9,30,15,45,940,530,18
6484,"0,01","12915,00",21.41791,1.25499,4.55556,0.12763,"0,012915","16,12",603,2,1,0,0,15,18,23,9,30,15,45,940,530,7
6386,"0,01","12915,00",21.41791,1.25499,4.55556,0.12763,"0,012915","16,12",603,2,1,0,0,15,18,23,9,30,15,45,940,530,20
5681,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1590,17
5562,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1910,18
5540,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1430,12
5390,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1750,13
5385,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1750,16
5350,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1590,16
5290,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1750,8
5136,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1590,15
4905,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1590,18
4965,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1590,9
4578,"0,01","12905,00",27.81250,1.34630,5.94701,0.12426,"0,012905","13,76",464,0,0,1,1,0,20,45,13,45,15,45,800,1590,13
